,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,代码,名称,涨跌幅度,前收盘,最高,最低,收盘,振荡幅度,成交量,总金额,市场比%%,换手率%%,5日量变%%
19,300561,汇金科技,软件服务,广东,68.89,0.14,0.56,29191.19,25798.59,1705.75,3898.08,0.7,1.062,6.34,15.38,20161117,16487.13,2.94,0.0,0.0,75.05,40.27,25575,300561,汇金科技,242.52,31.33,107.31,41.36,107.31,159.45,98934,  913万,0.0,0.71,1343.93
20,600477,杭萧钢构,钢加工,浙江,30.32,8.03,10.57,649570.25,542410.81,67907.72,26852.85,0.25,0.28300000000000003,1.87,6.11,20031110,60056.35,0.57,2.86,155.12,30.38,11.04,54483,600477,杭萧钢构,30.34,8.47,11.65,6.58,11.04,77.05,  45.65亿, 455.4亿,0.09,568.81,74.95
21,300411,金盾股份,专用机械,浙江,143.21,0.76,1.6,85665.95,62162.63,17302.22,20002.81,1.25,0.214,3.58,11.39,20141231,19366.55,1.21,6.5,1.29,40.75,13.4,12663,300411,金盾股份,18.67,34.77,51.95,19.05,41.26,172.7,   6.73亿, 228.0亿,0.03,887.02,20.88
22,002825,纳尔股份,化工原料,上海,27.23,0.25,1.0,46835.26,27741.95,14853.76,1918.71,0.19,0.488,4.53,3.91,20161129,21985.81,2.2,0.28,6.09,24.83,12.26,46122,002825,纳尔股份,59.67,12.2,19.48,16.1,19.48,20.99,4775, 8.50万,0.0,0.02,24.68
23,002822,中装建设,装修装饰,深圳,34.68,0.75,3.0,252479.34,234171.84,12791.67,35477.35,1.18,0.385,5.39,3.3,20161129,58170.48,1.94,0.0,0.0,16.35,6.05,125676,002822,中装建设,47.81,13.26,19.6,16.2,19.6,20.99,31268,56.95万,0.0,0.04,57.4
24,300562,乐心医疗,医疗保健,广东,49.95,0.15,0.59,42264.53,29384.44,0.0,0.0,0.0,0.965,6.18,10.39,20161116,0.0,0.0,0.0,0.0,0.0,10.05,27103,300562,乐心医疗,276.76,18.76,70.68,24.76,70.68,185.46,69038,  388万,0.0,0.47,830.58
25,603727,博迈科,石油开采,天津,49.19,0.59,2.34,267119.56,150583.66,0.0,0.0,0.0,0.8909999999999999,6.95,8.41,20161122,0.0,0.0,0.0,0.0,0.0,8.7,52893,603727,博迈科,114.41,29.97,64.26,32.97,64.26,94.9,   2149万,  13.4亿,0.0,36.61,66650.68
26,300567,精测电子,电器仪表,湖北,67.02,0.2,0.8,52411.3,46219.73,2577.2,1836.0,0.23,0.626,4.95,11.29,20161122,19880.13,2.49,0.0,0.0,50.58,14.68,36332,300567,精测电子,157.28,23.9,61.49,31.55,61.49,94.9,43480,  242万,0.0,0.22,345.35
27,603633,徕木股份,元器件,上海,59.69,0.3,1.2,83664.28,0.0,0.0,0.0,0.0,0.317,5.4,4.67,20161117,0.0,0.0,0.0,0.0,0.0,15.3,29238,603633,徕木股份,242.22,8.1,27.72,10.69,27.72,159.31,234257,  531万,0.0,0.78,1168.47
28,300556,丝路视觉,软件服务,深圳,350.07,0.28,1.11,44482.48,37599.78,2426.98,9697.51,0.87,0.105,3.37,14.5,20161104,9011.55,0.81,0.0,0.0,41.02,4.26,50627,300556,丝路视觉,708.27,6.65,53.75,8.78,53.75,512.19,518488, 2103万,0.0,1.87,3526.86
29,603777,来伊份,其他商业,上海,138.87,0.6,2.4,246923.05,161823.56,51366.69,98918.18,4.12,0.334,10.1,6.12,20161012,55648.3,2.32,0.0,0.0,45.87,3.43,52930,603777,来伊份,342.43,14.0,82.37,18.48,61.94,345.73,   6.25亿, 382.6亿,0.07,1042.11,146711.08
30,600992,贵绳股份,钢加工,贵州,276.98,2.45,2.45,215955.22,153524.05,27865.1,84036.9,3.43,0.054000000000000006,5.51,3.59,20040514,20525.17,0.84,-11.94,5.23,16.21,1.33,17418,600992,贵绳股份,45.62,13.37,21.3,9.47,19.47,124.92,  15.06亿, 202.5亿,0.04,614.49,44.23
31,603819,神力股份,电气设备,江苏,47.97,0.3,1.2,55723.82,43261.05,7921.93,24484.95,2.04,0.289,5.43,3.41,20161125,12747.17,1.06,0.0,0.0,17.96,8.51,29748,603819,神力股份,61.05,12.63,20.34,13.89,20.34,46.44,28881,50.69万,0.0,0.1,56.98
32,002820,桂发祥,食品,天津,69.88,0.32,1.28,65058.05,34066.98,4924.16,10916.1,0.85,0.605,4.99,11.3,20161118,24558.49,1.92,0.0,0.0,51.87,21.4,56828,002820,桂发祥,211.19,19.92,61.99,26.29,61.99,135.79,510359, 2772万,0.0,1.59,2081.23
33,300376,易事特,电气设备,广东,55.77,1.25,5.76,747230.88,564627.75,133305.09,191163.63,3.32,0.53,6.02,5.82,20140127,89200.61,1.55,49.48,44.49,15.93,7.21,29634,300376,易事特,68.64,22.83,38.5,17.75,38.5,116.9,  17.46亿, 626.6亿,0.08,1393.58,-39.91
34,300563,神宇股份,通信设备,江苏,92.22,0.2,0.8,42160.0,22844.1,11837.33,3313.25,0.41,0.35700000000000004,4.51,9.73,20161114,16261.23,2.03,0.0,0.0,23.35,12.17,36341,300563,神宇股份,355.33,10.61,48.31,14.0,48.31,245.07,181910,  724万,0.0,0.91,2082.5
35,603060,国检集团,建筑施工,北京,90.61,0.55,2.2,76181.61,28858.69,22803.7,0.0,0.0,0.386,2.36,19.75,20161109,19252.86,0.88,0.0,0.0,49.65,18.72,50580,603060,国检集团,326.14,12.05,51.35,15.91,51.35,222.75,   1.04亿,  48.7亿,0.01,189.47,381741.25
36,600599,熊猫金控,多元金融,湖南,0.0,1.66,1.66,117707.95,66659.74,2068.11,50607.8,3.05,-0.014,4.16,10.27,20010828,828.78,0.05,28.02,-142.31,75.56,-1.01,23912,600599,熊猫金控,0.44,38.28,42.72,17.5,38.45,144.11,  14.87亿, 418.3亿,0.08,895.85,334.91
37,603900,通灵珠宝,服饰,江苏,37.92,0.61,2.43,173188.02,155639.02,8363.36,44183.6,1.82,0.7190000000000001,6.41,5.67,20161123,49296.37,2.03,0.0,0.0,53.91,14.27,58899,603900,通灵珠宝,94.79,20.52,39.97,22.57,39.97,77.09,296412, 1051万,0.0,0.49,698.26
38,000672,上峰水泥,水泥,甘肃,103.61,8.14,8.14,588609.63,242199.55,232457.45,-48179.46,-0.59,0.059,2.18,3.75,19961218,119850.72,1.47,7.56,32.9,18.23,2.85,40552,000672,上峰水泥,7.94,8.31,9.46,5.3,8.97,78.49,  33.21亿, 237.9亿,0.03,408.22,203.12
39,603323,吴江银行,银行,江苏,17.67,1.12,11.14,7785579.0,0.0,107203.9,100000.0,0.9,0.505,7.02,1.7,20161129,91281.2,0.82,0.0,0.0,0.0,32.42,105611,603323,吴江银行,59.63,8.2,13.09,10.82,13.09,20.98,310732,  391万,0.0,0.28,248.82
40,603336,宏辉果蔬,农业综合,广东,48.08,0.33,1.33,62292.8,45381.96,12410.53,4992.25,0.37,0.337,4.53,4.77,20161124,28877.35,2.17,0.0,0.0,16.61,9.13,32253,603336,宏辉果蔬,112.71,11.17,23.76,14.75,23.76,61.08,77100,  160万,0.0,0.23,578.5
41,002059,云南旅游,旅游景点,云南,90.69,5.22,7.31,426270.91,276900.44,54700.55,59223.13,0.81,0.086,2.41,4.3,20060810,35557.28,0.49,19.48,37.16,27.27,6.32,34836,002059,云南旅游,3.45,11.02,13.78,7.0,11.4,96.86,  11.12亿, 102.1亿,0.01,212.91,-51.92
42,300242,明家联合,互联网,广东,58.61,2.77,6.37,275014.25,101536.85,1032.07,128298.86,2.01,0.231,3.32,5.45,20110712,21875.45,0.34,221.13,746.15,13.32,7.08,21710,300242,明家联合,-25.81,24.41,26.99,11.66,18.11,131.48,  16.74亿, 437.7亿,0.05,604.13,288.71
43,000980,金马股份,汽车配件,安徽,144.76,5.28,5.28,323608.53,251756.2,46356.3,126699.97,2.4,0.084,4.0,4.05,20000616,29544.4,0.56,26.63,42.46,18.97,3.56,65049,000980,金马股份,157.61,6.18,17.17,6.8,15.92,152.5,  50.27亿, 581.6亿,0.07,951.88,163.9
44,601882,海天精工,机床制造,浙江,92.4,0.52,5.22,187728.44,105170.11,66778.5,27638.6,0.53,0.098,2.14,5.62,20161107,22953.52,0.44,0.0,0.0,25.74,6.67,51215,601882,海天精工,512.04,2.16,13.22,2.38,13.22,455.46,768917,  769万,0.0,1.47,2316.96
45,002419,天虹商场,百货,深圳,24.61,8.0,8.0,1405102.38,862295.63,220641.8,170919.16,2.14,0.454,6.79,2.19,20100601,251958.97,3.15,-2.66,59.38,25.0,2.94,19276,002419,天虹商场,22.78,11.85,15.84,9.24,14.55,71.43,  13.52亿, 173.5亿,0.02,168.96,79.16
46,000518,四环生物,生物制药,江苏,644.24,10.3,10.3,109971.17,70623.95,25678.82,2531.88,0.02,0.01,0.6,14.43,19930908,-47661.92,-0.46,25.04,324.17,64.68,4.72,87969,000518,四环生物,38.51,5.92,9.49,5.85,8.2,62.22,  64.78亿, 481.0亿,0.06,629.22,2.59
47,002583,海能达,通信设备,深圳,172.22,8.41,17.28,615012.06,419763.94,105987.11,196251.31,1.14,0.07,2.56,5.39,20110527,65154.76,0.38,64.39,8.78,48.54,4.85,38047,002583,海能达,21.08,11.15,14.15,8.35,13.5,69.46,  36.30亿, 400.4亿,0.05,431.73,-14.16
48,000951,中国重汽,汽车整车,山东,35.67,6.71,6.71,1787570.25,1568990.63,147002.38,43243.28,0.64,0.337,7.0,2.29,19991125,312889.69,4.66,-1.52,13.33,10.37,1.59,20843,000951,中国重汽,66.6,10.0,17.33,8.36,16.66,107.3,  13.00亿, 178.5亿,0.02,193.8,151.71
49,603067,振华股份,化工原料,湖北,80.56,0.55,2.2,128130.22,68429.88,53390.41,41171.1,1.87,0.44,4.73,7.55,20160913,36643.67,1.67,0.0,0.0,31.16,11.67,34084,603067,振华股份,298.19,8.83,45.27,9.71,35.16,366.22,   6.95亿, 228.4亿,0.04,1264.22,148945.52
50,603843,正平股份,建筑施工,青海,162.07,1.0,4.0,362505.78,317068.63,13703.69,37006.23,0.93,0.16,2.99,8.95,20160905,35363.65,0.88,0.0,0.0,10.11,2.95,53735,603843,正平股份,344.87,6.04,34.39,7.96,26.87,332.04,  11.96亿, 287.6亿,0.05,1200.02,173232.98
51,000338,潍柴动力,汽车配件,山东,22.07,21.59,39.99,12463552.0,6560512.5,2442236.75,2788.31,0.01,0.376,7.79,1.42,20070430,2762304.0,6.91,15.25,44.32,23.16,2.39,148046,000338,潍柴动力,19.27,9.34,11.58,6.75,11.14,71.56,  58.10亿, 513.8亿,0.06,269.03,98.07
52,000416,民生控股,多元金融,山东,483.53,5.32,5.32,105504.95,87079.99,4610.4,1330.87,0.03,0.018000000000000002,1.61,7.42,19960719,26541.0,0.5,97.86,153.87,99.95,3.87,35372,000416,民生控股,15.0,10.33,12.5,5.79,11.88,115.89,  27.22亿, 233.4亿,0.03,512.11,6.32
53,002691,冀凯股份,专用机械,河北,480.64,1.99,2.0,93584.38,65588.61,19558.02,44227.85,2.21,0.045,4.27,6.81,20120731,18944.32,0.95,-15.24,-57.05,50.44,5.68,8107,002691,冀凯股份,29.64,21.96,29.95,17.3,28.47,73.12,   2.92亿,  66.6亿,0.01,146.97,-41.43
54,600158,中体产业,文教休闲,天津,673.85,6.57,8.44,379203.81,344297.81,10416.58,2380.65,0.03,0.024,1.84,11.87,19980327,55951.61,0.66,71.12,-59.11,20.37,2.94,114150,600158,中体产业,-1.72,22.05,26.76,13.91,21.67,92.38,  77.91亿,  1483亿,0.28,1184.99,18.41
55,600048,保利地产,全国地产,广东,13.33,107.59,118.58,43812876.0,41082888.0,306939.59,1481764.0,1.25,0.64,7.09,1.5,20060731,5503962.0,4.64,37.45,9.9,30.13,8.16,254094,600048,保利地产,3.82,10.22,11.98,8.0,10.61,49.75,  206.5亿,  2039亿,0.39,191.93,-28.63
56,600985,雷鸣科化,化工原料,安徽,37.94,2.63,2.63,200738.91,72443.24,40410.46,43458.93,1.65,0.331,4.71,3.56,20040428,43834.53,1.67,-12.85,25.23,43.78,14.63,19555,600985,雷鸣科化,28.41,12.67,17.0,8.65,16.27,96.53,  13.79亿, 165.1亿,0.03,524.59,19.59
57,002383,合众思壮,通信设备,北京,867.82,1.29,2.44,478936.34,228541.2,56608.98,286010.97,11.7,0.06,14.08,3.83,20100402,26516.99,1.09,17.21,25.61,48.0,1.99,18149,002383,合众思壮,29.32,39.9,55.0,26.8,51.6,105.22,  10.13亿, 370.6亿,0.04,786.7,39.12
58,000651,格力电器,家用电器,广东,12.29,59.72,60.16,18170746.0,13945858.0,1672439.13,18840.06,0.03,1.867,8.27,3.7,19961118,3994264.75,6.64,1.11,12.82,34.12,13.62,339957,000651,格力电器,63.5,17.59,31.32,16.43,28.76,90.63,  98.82亿,  2276亿,0.27,165.47,158.79
59,000898,鞍钢股份,普钢,辽宁,31.05,61.49,72.35,8789600.0,2477400.0,4917700.0,3151900.0,4.36,0.135,6.12,0.91,19971225,184500.0,0.26,-1.26,210.02,13.51,2.38,112749,000898,鞍钢股份,22.29,4.62,6.0,3.62,5.65,65.75,  58.39亿, 263.4亿,0.03,94.96,251.25
60,002159,三特索道,旅游景点,湖北,0.0,1.34,1.39,240283.97,43552.28,83929.81,46125.09,3.33,-0.056,6.27,4.89,20070817,20626.76,1.49,7.33,28.78,54.47,-2.19,8624,002159,三特索道,-0.13,30.55,32.17,18.7,30.51,72.03,   7.22亿, 179.8亿,0.02,539.62,-52.9
61,603519,立霸股份,家用电器,江苏,80.59,0.77,1.6,82930.47,71737.46,7894.47,18148.0,1.13,0.32299999999999995,4.17,8.33,20150319,29276.09,1.83,-3.91,10.51,16.54,8.7,10082,603519,立霸股份,21.21,27.39,37.99,17.75,33.2,114.03,   3.32亿, 107.9亿,0.02,432.43,8.18
62,601099,太平洋,证券,云南,115.16,64.79,68.16,3962682.5,0.0,21874.93,279778.78,0.41,0.042,1.71,3.81,20071228,106848.36,0.16,-46.68,-63.03,0.0,28.29,334088,601099,太平洋,21.65,5.22,6.58,3.69,6.35,78.32,  311.9亿,  2082亿,0.4,481.41,25.62
63,600376,首开股份,区域地产,北京,22.21,22.42,25.8,17399210.0,16297245.0,78392.15,766366.19,2.97,0.35,11.31,1.22,20010312,0.0,0.0,51.1,-22.41,35.98,6.89,59043,600376,首开股份,4.97,12.67,14.28,8.06,13.3,77.17,  59.37亿, 682.2亿,0.13,264.8,-44.89
64,300164,通源石油,石油开采,陕西,382.44,3.08,4.4,185092.95,83761.88,30552.0,78063.78,1.77,0.02,3.41,2.97,20110113,19927.55,0.45,-39.34,146.99,46.05,3.45,19441,300164,通源石油,-5.52,10.32,11.49,6.6,9.75,74.09,  19.06亿, 164.6亿,0.02,618.77,50.44
65,002648,卫星石化,化工原料,浙江,70.28,8.0,8.04,722175.75,241239.0,349874.31,141614.88,1.76,0.124,3.95,2.93,20111228,70104.65,0.87,7.12,144.11,18.83,2.87,21973,002648,卫星石化,18.01,9.66,12.09,6.87,11.4,75.98,  20.42亿, 194.1亿,0.02,255.27,-5.6
66,600856,中天能源,供气供热,吉林,33.87,7.71,11.34,1210871.25,305296.75,80255.86,12791.5,0.11,0.18,1.95,6.74,19940425,89092.15,0.79,66.82,151.85,21.38,15.44,23871,600856,中天能源,26.37,10.39,13.95,8.61,13.13,62.02,  17.85亿, 283.9亿,0.05,231.49,73.5
67,600803,新奥股份,农药化肥,河北,48.08,9.86,9.86,1752564.25,450155.16,506384.84,0.0,0.0,0.196,4.47,2.81,19940103,325863.53,3.31,-2.73,-61.63,25.23,4.82,24177,600803,新奥股份,-4.29,13.29,17.03,9.7,12.72,75.57,  13.50亿, 172.4亿,0.03,136.93,-24.29
68,600785,新华百货,百货,宁夏,106.42,2.07,2.26,414082.41,179800.0,136919.05,31487.01,1.4,0.217,8.44,3.65,19970108,117314.57,5.2,-1.47,-63.58,19.69,0.91,14514,600785,新华百货,-2.28,30.68,37.13,21.0,29.98,76.81,   8.04亿, 223.7亿,0.04,387.53,-19.92
69,603313,恒康家居,家居用品,江苏,61.17,0.6,2.4,204181.73,146496.5,34100.18,89684.93,3.74,0.79,6.71,7.19,20161013,42573.35,1.77,0.0,0.0,33.95,11.62,53283,603313,恒康家居,113.38,22.19,60.48,24.41,47.35,147.77,   5.21亿, 253.9亿,0.05,867.83,71841.13
70,002713,东易日盛,装修装饰,北京,375.09,0.62,2.54,260190.67,155177.92,24186.0,45189.73,1.78,0.059,3.43,8.6,20140219,15600.24,0.61,28.61,157.54,36.69,0.81,15774,002713,东易日盛,21.0,25.0,40.85,22.1,30.25,84.84,   6.31亿, 187.9亿,0.02,1010.96,-30.79
71,300359,全通教育,文教休闲,广东,306.57,2.59,6.34,232688.59,81429.05,3360.88,105545.86,1.67,0.067,3.08,8.82,20140121,24060.36,0.38,189.61,27.79,34.0,6.7,45229,300359,全通教育,-30.44,37.65,39.97,22.38,26.19,78.6,  16.67亿, 681.5亿,0.08,642.53,224.29
72,600167,联美控股,供气供热,辽宁,31.2,2.11,6.8,535906.75,154947.52,242022.77,7591.62,0.11,0.438,3.07,5.94,19990128,124156.82,1.83,11.93,16.22,43.0,26.48,13609,600167,联美控股,-31.87,25.76,25.68,12.66,17.55,102.84,   7.48亿, 128.8亿,0.02,354.49,-58.46
73,603322,超讯通信,通信设备,广东,298.31,0.2,0.8,93845.17,90188.53,2623.46,25377.57,3.17,0.203,5.81,13.88,20160728,12223.1,1.53,0.0,0.0,21.96,3.25,16195,603322,超讯通信,483.18,14.39,95.18,19.0,83.92,400.95,   2.14亿, 167.5亿,0.03,1069.31,180305.58
74,000514,渝 开 发,区域地产,重庆,516.8,8.44,8.44,695122.75,479303.31,140731.2,118617.51,1.41,0.013,3.34,2.66,19930712,62476.63,0.74,-33.54,-55.48,39.77,2.23,54726,000514,渝 开 发,3.98,8.55,12.23,6.39,8.89,91.39,  44.72亿, 387.9亿,0.05,530.01,44.1
75,002132,恒星科技,钢加工,河南,75.75,7.14,12.57,428864.69,250365.41,99900.95,103809.05,0.83,0.08,2.21,2.99,20070427,42515.95,0.34,12.33,63.41,23.59,5.7,57344,002132,恒星科技,40.13,4.61,6.78,3.43,6.46,97.67,  37.73亿, 222.2亿,0.03,528.13,13.85
76,000880,潍柴重机,机械基件,山东,157.21,1.35,2.76,342786.72,131303.25,129035.77,58911.36,2.13,0.075,4.73,3.34,19980402,36327.71,1.32,-26.49,-12.42,14.03,1.62,15786,000880,潍柴重机,-1.57,15.94,17.22,9.88,15.69,74.29,  13.52亿, 188.3亿,0.02,1000.34,-3.55
77,002558,世纪游轮,旅游服务,重庆,96.59,0.64,16.87,817996.0,709504.25,50649.35,428756.84,2.54,0.52,4.32,14.09,20110302,178761.3,1.06,7.82,258.19,83.47,47.74,11932,002558,世纪游轮,37.42,44.07,77.03,36.67,60.56,110.06,   4.81亿, 565.3亿,0.07,746.81,5130.09
78,600421,仰帆控股,机械基件,湖北,0.0,1.96,1.96,7687.56,2464.7,3849.65,19584.88,1.0,-0.005,0.02,1013.77,20040607,-41482.51,-2.12,-11.4,-1065.97,12.86,-4.86,8701,600421,仰帆控股,15.29,20.6,26.8,14.48,23.75,85.08,   8.34亿, 167.9亿,0.03,426.26,-21.76
79,002738,中矿资源,建筑施工,北京,135.07,0.9,1.87,85442.81,56178.46,19632.5,24895.0,1.33,0.16,3.22,8.96,20141230,34555.94,1.85,11.19,11.42,36.11,13.99,13927,002738,中矿资源,7.0,26.43,31.9,14.81,28.28,115.39,   8.70亿, 233.0亿,0.03,968.43,-34.16
80,002599,盛通股份,广告包装,北京,199.93,0.91,1.35,134858.31,54541.73,67389.0,31614.22,2.34,0.147,4.96,7.91,20110715,19294.9,1.43,18.95,28.47,17.23,3.2,9926,002599,盛通股份,-8.79,41.62,46.97,26.47,37.96,77.45,   4.23亿, 147.8亿,0.02,464.37,-34.86
81,600759,洲际油气,石油开采,海南,1787.35,15.81,22.64,1544900.38,337060.03,5061.4,244588.95,1.08,0.004,2.3,4.01,19961008,65588.93,0.29,-11.21,77.58,50.24,1.02,59473,600759,洲际油气,17.11,7.83,9.65,7.3,9.17,32.19,  30.41亿, 259.7亿,0.05,192.4,-39.93
82,000656,金科股份,区域地产,重庆,22.5,36.24,53.47,10300399.0,9424257.0,263659.72,401754.28,0.75,0.21,4.51,1.26,19961128,691425.19,1.29,91.77,25.32,21.31,4.74,317946,000656,金科股份,-4.12,5.58,6.11,3.43,5.35,78.13,  176.0亿, 818.7亿,0.1,485.61,198.48
83,601989,中国重工,船舶,北京,123.76,179.58,183.62,19095918.0,12876884.0,3203518.5,2387969.5,1.3,0.046,3.33,2.28,20091216,1376245.25,0.75,-15.3,291.82,8.98,2.51,905318,601989,中国重工,-26.77,10.16,10.38,5.66,7.44,83.39,  321.4亿,  2325亿,0.44,178.98,60.35
84,300082,奥克股份,化工原料,辽宁,47.0,6.74,6.74,500341.41,231359.55,198532.86,169633.52,2.52,0.14,3.98,2.21,20100520,23856.1,0.35,40.69,200.78,8.86,3.16,30903,300082,奥克股份,-1.47,8.83,9.04,5.03,8.7,79.72,  29.75亿, 227.7亿,0.03,441.45,-62.22
85,000069,华侨城Ａ,旅游景点,深圳,16.58,61.22,82.06,13574926.0,9831231.0,1458383.25,553591.88,0.67,0.355,4.84,1.62,19970910,2412827.5,2.94,9.25,17.09,46.53,15.31,123635,000069,华侨城Ａ,-9.68,8.57,9.86,5.81,7.74,69.71,  82.92亿, 619.6亿,0.07,135.45,-12.27
